Month,Avg_sunspot_count
01-01-2011,42.93370949
02-01-2011,30.21930571
03-01-2011,88.06683009
04-01-2011,125.1931904
05-01-2011,33.40543888
06-01-2011,31.82367063
07-01-2011,118.9565042
08-01-2011,83.76592695
09-01-2011,69.53754493
10-01-2011,118.8585852
11-01-2011,84.11994173
12-01-2011,61.56844586
01-01-2012,81.89040164
02-01-2012,2.259668921
03-01-2012,2.259668921
04-01-2012,39.64212511
05-01-2012,27.55289637
06-01-2012,83.29892862
07-01-2012,34.93448152
08-01-2012,8.466226221
09-01-2012,135.8964889
10-01-2012,47.55849856
11-01-2012,68.99522439
12-01-2012,2.259668921
01-01-2013,48.1234158
02-01-2013,50.81242179
03-01-2013,7.682874331
04-01-2013,97.56497179
05-01-2013,63.76785694
06-01-2013,44.77157356
07-01-2013,38.11308247
08-01-2013,151.6915746
09-01-2013,40.44807368
10-01-2013,39.03201449
11-01-2013,122.4514587
12-01-2013,39.14499794
01-01-2014,97.43692386
02-01-2014,22.71720488
03-01-2014,37.75153544
04-01-2014,93.51263221
05-01-2014,117.6458963
06-01-2014,85.1443249
07-01-2014,70.32089681
08-01-2014,67.10463472
09-01-2014,32.02704084
10-01-2014,35.71030118
11-01-2014,57.50857403
12-01-2014,132.1529707
01-01-2015,85.36275963
02-01-2015,2.259668921
03-01-2015,55.48993646
04-01-2015,39.55927058
05-01-2015,36.71961997
06-01-2015,77.34846716
07-01-2015,95.50867309
08-01-2015,90.01014533
09-01-2015,21.80580509
10-01-2015,34.12853294
11-01-2015,61.61363924
12-01-2015,87.16296245
01-01-2016,21.57983819
02-01-2016,34.21138748
03-01-2016,2.259668921
04-01-2016,2.259668921
05-01-2016,74.99841149
06-01-2016,75.87968235
07-01-2016,21.19569448
08-01-2016,82.53064118
09-01-2016,49.71271626
10-01-2016,2.259668921
11-01-2016,32.2228788
12-01-2016,82.4779156
01-01-2017,18.0622869
02-01-2017,89.61093717
03-01-2017,2.259668921
04-01-2017,60.95833526
05-01-2017,18.11501253
06-01-2017,2.259668921
07-01-2017,17.49736967
08-01-2017,2.259668921
09-01-2017,23.1239453
10-01-2017,25.85814469
11-01-2017,70.15518776
12-01-2017,2.259668921
01-01-2018,2.259668921
02-01-2018,2.259668921
03-01-2018,42.67761369
04-01-2018,21.3538713
05-01-2018,2.259668921
06-01-2018,34.62566011
07-01-2018,5.528656626
08-01-2018,49.72024848
09-01-2018,2.259668921
10-01-2018,2.259668921
11-01-2018,2.259668921
12-01-2018,2.259668921
01-01-2019,18.9962834
02-01-2019,12.23987333
03-01-2019,7.306262844
04-01-2019,2.259668921
05-01-2019,2.259668921
06-01-2019,2.576022569
07-01-2019,2.628748178
08-01-2019,2.696538247
09-01-2019,2.59108703
10-01-2019,18.31085049
11-01-2019,84.43629534
12-01-2019,8.910627777
01-01-2020,16.14910056
02-01-2020,2.749263855
03-01-2020,2.523296961
04-01-2020,2.734199395
05-01-2020,2.83211838
06-01-2020,114.1434094
07-01-2020,2.259668921
08-01-2020,19.08667016
09-01-2020,2.681473786
10-01-2020,2.259668921
11-01-2020,76.54251858
12-01-2020,49.93115092
