Month,Avg_sunspot_count
01-01-2011,38.29947323
02-01-2011,26.9574538
03-01-2011,78.56095459
04-01-2011,111.6799201
05-01-2011,29.79967786
06-01-2011,28.38864463
07-01-2011,106.1164177
08-01-2011,74.72428809
09-01-2011,62.03170823
10-01-2011,106.029068
11-01-2011,75.04009075
12-01-2011,54.92278845
01-01-2012,73.05120575
02-01-2012,2.015761749
03-01-2012,2.015761749
04-01-2012,35.36318029
05-01-2012,24.57885493
06-01-2012,74.30769725
07-01-2012,31.16367664
08-01-2012,7.552387352
09-01-2012,121.2279116
10-01-2012,42.42506562
11-01-2012,61.54792541
12-01-2012,2.015761749
01-01-2013,42.92900606
02-01-2013,45.32776253
03-01-2013,6.853589947
04-01-2013,87.03387314
05-01-2013,56.88479656
06-01-2013,39.93895946
07-01-2013,33.99918151
08-01-2013,135.3180862
09-01-2013,36.08213531
10-01-2013,34.81892461
11-01-2013,109.2341291
12-01-2013,34.9197127
01-01-2014,86.91964662
02-01-2014,20.26512478
03-01-2014,33.67665962
04-01-2014,83.41894042
05-01-2014,104.9472759
06-01-2014,75.95390267
07-01-2014,62.73050563
08-01-2014,59.86140475
09-01-2014,28.57006319
10-01-2014,31.85575484
11-01-2014,51.30113652
12-01-2014,117.8884663
01-01-2015,76.14875971
02-01-2015,2.015761749
03-01-2015,49.50038935
04-01-2015,35.28926903
05-01-2015,32.75612843
06-01-2015,68.99952467
07-01-2015,85.19952997
08-01-2015,80.29450966
09-01-2015,19.45210088
10-01-2015,30.44472162
11-01-2015,54.96310369
12-01-2015,77.75464982
01-01-2016,19.2505247
02-01-2016,30.51863289
03-01-2016,2.015761749
04-01-2016,2.015761749
05-01-2016,66.90313246
06-01-2016,67.68927953
07-01-2016,18.90784521
08-01-2016,73.62233825
09-01-2016,44.34675848
10-01-2016,2.015761749
11-01-2016,28.74476254
12-01-2016,73.57530383
01-01-2017,16.11265558
02-01-2017,79.93839177
03-01-2017,2.015761749
04-01-2017,54.37853279
05-01-2017,16.15969003
06-01-2017,2.015761749
07-01-2017,15.60871514
08-01-2017,2.015761749
09-01-2017,20.6279619
10-01-2017,23.06703362
11-01-2017,62.58268311
12-01-2017,2.015761749
01-01-2018,2.015761749
02-01-2018,2.015761749
03-01-2018,38.07102024
04-01-2018,19.04894853
05-01-2018,2.015761749
06-01-2018,30.88818921
07-01-2018,4.931897079
08-01-2018,44.35347768
09-01-2018,2.015761749
10-01-2018,2.015761749
11-01-2018,2.015761749
12-01-2018,2.015761749
01-01-2019,16.94583711
02-01-2019,10.91870948
03-01-2019,6.517629656
04-01-2019,2.015761749
05-01-2019,2.015761749
06-01-2019,2.297968394
07-01-2019,2.345002835
08-01-2019,2.405475688
09-01-2019,2.311406806
10-01-2019,16.33438938
11-01-2019,75.32229736
12-01-2019,7.948820497
01-01-2020,14.4059773
02-01-2020,2.452510129
03-01-2020,2.250933953
04-01-2020,2.439071717
05-01-2020,2.526421392
06-01-2020,101.8228451
07-01-2020,2.015761749
08-01-2020,17.02646758
09-01-2020,2.392037276
10-01-2020,2.015761749
11-01-2020,68.28056965
12-01-2020,44.54161545
