file_id,label
0,0
1,1
2,0
3,0
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,1
32,0
33,1
34,0
35,1
36,0
37,1
38,0
39,0
40,1
41,1
42,1
43,0
44,1
45,1
46,1
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,0
61,0
62,1
63,1
64,0
65,1
66,1
67,1
68,0
69,1
70,1
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,1
122,1
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,1
132,0
133,0
134,0
135,1
136,1
137,1
138,1
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,0
153,0
154,1
155,0
156,1
157,0
158,1
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,1
180,0
181,0
182,0
183,1
184,1
185,1
186,0
187,1
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,1
205,1
206,0
207,0
208,0
209,1
210,1
211,1
212,1
213,1
214,0
215,1
216,0
217,1
218,0
219,1
220,0
221,1
222,0
223,0
224,1
225,1
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,0
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,1
265,0
266,1
267,0
268,1
269,1
270,1
271,1
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,0
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,0
297,0
298,1
299,1
300,0
301,1
302,0
303,1
304,1
305,1
306,1
307,0
308,0
309,0
310,0
311,1
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,1
320,0
321,0
322,0
323,0
324,1
325,0
326,1
327,1
328,1
329,1
330,1
331,1
