,Unnamed: 0,book_id,user_id,rating
0,0,1,314,5
1,1,1,439,3
2,2,1,588,5
3,3,1,1169,4
4,4,1,1185,4
5,5,1,2077,4
6,6,1,2487,4
7,7,1,2900,5
8,8,1,3662,4
9,9,1,3922,5
10,10,1,5379,5
11,11,1,5461,3
12,12,1,5885,5
13,13,1,6630,5
14,14,1,7563,3
15,15,1,9246,1
16,16,1,10140,4
17,17,1,10146,5
18,18,1,10246,4
19,19,1,10335,4
20,20,1,10610,5
21,21,1,10944,5
22,22,1,11854,4
23,23,1,11927,4
24,24,1,12471,5
25,25,1,13282,5
26,26,1,13544,5
27,27,1,15494,5
28,28,1,16377,4
29,29,1,16913,5
30,30,1,17434,5
31,31,1,17663,5
32,32,1,17984,5
33,33,1,18031,5
34,34,1,18313,5
35,35,1,18361,4
36,36,1,20076,3
37,37,1,20467,3
38,38,1,20848,5
39,39,1,21228,5
40,40,1,21487,4
41,41,1,21713,5
42,42,1,22602,4
43,43,1,23576,4
44,44,1,23612,4
45,45,1,24326,5
46,46,1,24389,4
47,47,1,24499,5
48,48,1,24834,4
49,49,1,24845,5
50,50,1,25164,4
51,51,1,25182,5
52,52,1,25214,4
53,53,1,26145,4
54,54,1,26629,4
55,55,1,26661,4
56,56,1,28158,4
57,57,1,28767,5
58,58,1,29123,3
59,59,1,29703,5
60,60,1,30681,5
61,61,1,31001,4
62,62,1,32055,4
63,63,1,32305,5
64,64,1,32592,4
65,65,1,32635,5
66,66,1,32748,5
67,67,1,32923,5
68,68,1,33065,4
69,69,1,33697,4
70,70,1,33716,5
71,71,1,33872,5
72,72,1,33890,3
73,73,1,37284,5
74,74,1,37834,5
75,75,1,38080,4
76,76,1,38082,5
77,77,1,38475,4
78,78,1,39423,3
79,79,1,41074,3
80,80,1,42404,5
81,81,1,43985,4
82,82,1,44243,2
83,83,1,44397,5
84,84,1,45269,4
85,85,1,45493,5
86,86,1,46977,4
87,87,1,47476,4
88,88,1,47746,5
89,89,1,47800,5
90,90,1,48482,3
91,91,1,49298,4
92,92,1,50104,5
93,93,1,50342,3
94,94,1,51166,4
95,95,1,51460,3
96,96,1,51480,1
97,97,1,51838,5
98,98,1,52036,2
99,99,1,53245,4
100,100,2,1169,3
101,101,2,3022,4
102,102,2,3922,5
103,103,2,5115,4
104,104,2,5436,5
105,105,2,5461,4
106,106,2,5885,4
107,107,2,6063,1
108,108,2,6342,3
109,109,2,6630,5
110,110,2,8167,2
111,111,2,9731,4
112,112,2,10111,5
113,113,2,10140,3
114,114,2,10288,5
115,115,2,10509,2
116,116,2,10610,5
117,117,2,10751,3
118,118,2,10944,5
119,119,2,11285,4
120,120,2,11408,5
121,121,2,11691,4
